column 1,column 2
100,5.62e-11
101,5.79e-11
102,5.97e-11
103,6.14e-11
104,6.32e-11
105,6.50e-11
106,6.67e-11
107,6.85e-11
108,7.04e-11
109,7.22e-11
110,7.40e-11
111,7.58e-11
112,7.76e-11
113,7.95e-11
114,8.13e-11
115,8.32e-11
116,8.50e-11
117,8.69e-11
118,8.87e-11
119,9.06e-11
120,9.24e-11
121,9.43e-11
122,9.62e-11
123,9.80e-11
124,9.99e-11
125,1.02e-10
126,1.04e-10
127,1.05e-10
128,1.07e-10
129,1.09e-10
130,1.11e-10
131,1.13e-10
132,1.15e-10
133,1.17e-10
134,1.19e-10
135,1.20e-10
136,1.22e-10
137,1.24e-10
138,1.26e-10
139,1.28e-10
140,1.30e-10
141,1.31e-10
142,1.33e-10
143,1.35e-10
144,1.37e-10
145,1.39e-10
146,1.41e-10
147,1.42e-10
148,1.44e-10
149,1.46e-10
150,1.48e-10
151,1.50e-10
152,1.51e-10
153,1.53e-10
154,1.55e-10
155,1.57e-10
156,1.58e-10
157,1.60e-10
158,1.62e-10
159,1.64e-10
160,1.65e-10
161,1.67e-10
162,1.69e-10
163,1.71e-10
164,1.72e-10
165,1.74e-10
166,1.76e-10
167,1.77e-10
168,1.79e-10
169,1.81e-10
170,1.83e-10
171,1.84e-10
172,1.86e-10
173,1.88e-10
174,1.89e-10
175,1.91e-10
176,1.93e-10
177,1.94e-10
178,1.96e-10
179,1.97e-10
180,1.99e-10
181,2.01e-10
182,2.02e-10
183,2.04e-10
184,2.05e-10
185,2.07e-10
186,2.09e-10
187,2.10e-10
188,2.12e-10
189,2.13e-10
190,2.15e-10
191,2.16e-10
192,2.18e-10
193,2.19e-10
194,2.21e-10
195,2.23e-10
196,2.24e-10
197,2.26e-10
198,2.27e-10
199,2.29e-10
200,2.30e-10
201,2.32e-10
202,2.33e-10
203,2.34e-10
204,2.36e-10
205,2.37e-10
206,2.39e-10
207,2.40e-10
208,2.42e-10
209,2.43e-10
210,2.45e-10
211,2.46e-10
212,2.47e-10
213,2.49e-10
214,2.50e-10
215,2.52e-10
216,2.53e-10
217,2.54e-10
218,2.56e-10
219,2.57e-10
220,2.58e-10
221,2.60e-10
222,2.61e-10
223,2.63e-10
224,2.64e-10
225,2.65e-10
226,2.67e-10
227,2.68e-10
228,2.69e-10
229,2.70e-10
230,2.72e-10
231,2.73e-10
232,2.74e-10
233,2.76e-10
234,2.77e-10
235,2.78e-10
236,2.79e-10
237,2.81e-10
238,2.82e-10
239,2.83e-10
240,2.84e-10
241,2.86e-10
242,2.87e-10
243,2.88e-10
244,2.89e-10
245,2.91e-10
246,2.92e-10
247,2.93e-10
248,2.94e-10
249,2.95e-10
250,2.97e-10
251,2.98e-10
252,2.99e-10
253,3.00e-10
254,3.01e-10
255,3.02e-10
256,3.04e-10
257,3.05e-10
258,3.06e-10
259,3.07e-10
260,3.08e-10
261,3.09e-10
262,3.10e-10
263,3.12e-10
264,3.13e-10
265,3.14e-10
266,3.15e-10
267,3.16e-10
268,3.17e-10
269,3.18e-10
270,3.19e-10
271,3.20e-10
272,3.21e-10
273,3.22e-10
274,3.24e-10
275,3.25e-10
276,3.26e-10
277,3.27e-10
278,3.28e-10
279,3.29e-10
280,3.30e-10
281,3.31e-10
282,3.32e-10
283,3.33e-10
284,3.34e-10
285,3.35e-10
286,3.36e-10
287,3.37e-10
288,3.38e-10
289,3.39e-10
290,3.40e-10
291,3.41e-10
292,3.42e-10
293,3.43e-10
294,3.44e-10
295,3.45e-10
296,3.46e-10
297,3.47e-10
298,3.48e-10
299,3.49e-10
300,3.50e-10
301,3.51e-10
302,3.52e-10
303,3.53e-10
304,3.53e-10
305,3.54e-10
306,3.55e-10
307,3.56e-10
308,3.57e-10
309,3.58e-10
310,3.59e-10
311,3.60e-10
312,3.61e-10
313,3.62e-10
314,3.63e-10
315,3.64e-10
316,3.64e-10
317,3.65e-10
318,3.66e-10
319,3.67e-10
320,3.68e-10
321,3.69e-10
322,3.70e-10
323,3.71e-10
324,3.71e-10
325,3.72e-10
326,3.73e-10
327,3.74e-10
328,3.75e-10
329,3.76e-10
330,3.76e-10
331,3.77e-10
332,3.78e-10
333,3.79e-10
334,3.80e-10
335,3.81e-10
336,3.81e-10
337,3.82e-10
338,3.83e-10
339,3.84e-10
340,3.85e-10
341,3.85e-10
342,3.86e-10
343,3.87e-10
344,3.88e-10
345,3.89e-10
346,3.89e-10
347,3.90e-10
348,3.91e-10
349,3.92e-10
350,3.93e-10
351,3.93e-10
352,3.94e-10
353,3.95e-10
354,3.96e-10
355,3.96e-10
356,3.97e-10
357,3.98e-10
358,3.99e-10
359,3.99e-10
360,4.00e-10
361,4.01e-10
362,4.02e-10
363,4.02e-10
364,4.03e-10
365,4.04e-10
366,4.05e-10
367,4.05e-10
368,4.06e-10
369,4.07e-10
370,4.07e-10
371,4.08e-10
372,4.09e-10
373,4.10e-10
374,4.10e-10
375,4.11e-10
376,4.12e-10
377,4.12e-10
378,4.13e-10
379,4.14e-10
380,4.14e-10
381,4.15e-10
382,4.16e-10
383,4.16e-10
384,4.17e-10
385,4.18e-10
386,4.18e-10
387,4.19e-10
388,4.20e-10
389,4.20e-10
390,4.21e-10
391,4.22e-10
392,4.22e-10
393,4.23e-10
394,4.24e-10
395,4.24e-10
396,4.25e-10
397,4.26e-10
398,4.26e-10
399,4.27e-10
400,4.28e-10
401,4.28e-10
402,4.29e-10
403,4.30e-10
404,4.30e-10
405,4.31e-10
406,4.31e-10
407,4.32e-10
408,4.33e-10
409,4.33e-10
410,4.34e-10
411,4.34e-10
412,4.35e-10
413,4.36e-10
414,4.36e-10
415,4.37e-10
416,4.37e-10
417,4.38e-10
418,4.39e-10
419,4.39e-10
420,4.40e-10
421,4.40e-10
422,4.41e-10
423,4.42e-10
424,4.42e-10
425,4.43e-10
426,4.43e-10
427,4.44e-10
428,4.45e-10
429,4.45e-10
430,4.46e-10
431,4.46e-10
432,4.47e-10
433,4.47e-10
434,4.48e-10
435,4.49e-10
436,4.49e-10
437,4.50e-10
438,4.50e-10
439,4.51e-10
440,4.51e-10
