column 1,column 2
0,1
10,17.94
20,38.25
30,65.28
40,95.58
50,103.74
60,128.08
70,154.57
80,158.21
90,201.8
100,208.32
110,223.1
120,270.45
130,278.73
140,295.11
150,297.16
160,362.34
170,368.86
180,392.01
190,353.14
200,458.02
210,441.96
220,472.32
230,422.36
240,567.78
250,542.56
260,515.03
270,481.34
280,582.32
290,605.54
300,684.38
310,653.5
320,739.61
330,493.64
340,667.56
350,841.67
360,663
370,702.19
380,645.09
390,846.51
400,813.81
410,872.55
420,777.91
430,821.43
440,906.91
450,1097.3
460,888.41
470,840.8
480,951.13
490,926.17
500,1074.82
510,746.21
520,981.21
530,938.81
540,1166.79
550,1088.25
560,1310.97
570,1073.34
580,1009.01
590,1069.6
600,1093.18
610,1197.81
620,1408.86
630,1167.34
640,1478.81
650,1379.9
660,1450.57
670,1280.3
680,1577.62
690,1523.73
700,1331.14
710,1490.37
720,1493.93
730,1208.72
740,1295.43
750,1661.68
760,1639.32
770,1372.26
780,1763.89
790,1829.01
800,1698.59
810,1660
820,1788.39
830,1670.28
840,1687.71
850,1849.96
860,1663.05
870,2052.83
880,1719.39
890,1810.5
900,1573.62
910,1960.59
920,1785.73
930,1879.11
940,1995.48
950,1967.42
960,1711.79
970,1874.01
980,1660.72
990,2173.74
1000,1847.24
1010,2091.29
1020,2236.28
1030,1898.42
1040,2193.79
1050,1920.3
1060,2291.99
1070,2163.19
1080,2197.84
1090,2016.91
1100,2123.55
1110,2096.98
1120,2146.74
1130,2294.32
1140,2080.09
1150,2284.06
1160,2440.15
1170,2840.58
1180,2274.48
1190,2106.5
1200,2325.68
1210,2425.78
1220,2446.27
1230,2166.44
1240,2503.06
1250,2404.02
1260,2581.79
1270,2668.04
1280,2948.01
1290,2424.62
1300,2547.77
1310,2913.1
1320,3139.04
1330,2460.07
1340,2580.37
1350,2876.11
1360,3076.46
1370,2802
1380,2724.35
1390,2494.3
1400,2898.05
1410,2541.72
1420,2725.28
1430,3341.7
1440,3137.9
1450,2783.84
1460,2865.84
1470,3157.39
1480,2716.93
1490,2499.2
1500,3154.1
1510,2725.26
1520,2869.88
1530,2982.91
1540,2980.99
1550,3574.04
1560,3011.22
1570,2698.83
1580,3453.61
1590,3630.78
1600,2705.83
1610,3404.8
1620,3089.19
1630,3767.47
1640,3276.06
1650,3439.05
1660,3716.73
1670,3097.35
1680,2969.4
1690,3106.99
1700,3536.16
1710,3548.54
1720,3845.46
1730,3411.1
1740,3173.33
