column 1,column 2
30,65.28
70,154.57
110,223.1
150,297.16
190,353.14
230,422.36
270,481.34
310,653.5
350,841.67
390,846.51
430,821.43
470,840.8
510,746.21
550,1088.25
590,1069.6
630,1167.34
670,1280.3
710,1490.37
750,1661.68
790,1829.01
830,1670.28
870,2052.83
910,1960.59
950,1967.42
990,2173.74
1030,1898.42
1070,2163.19
1110,2096.98
1150,2284.06
1190,2106.5
1230,2166.44
1270,2668.04
1310,2913.1
1350,2876.11
1390,2494.3
1430,3341.7
1470,3157.39
1510,2725.26
1550,3574.04
1590,3630.78
1630,3767.47
1670,3097.35
1710,3548.54
1750,3728.16
1790,3363.93
1830,3622.9
1870,4755.06
1910,4019.58
1950,3500.66
1990,4151.18
2030,3422.65
2070,4423.27
2110,4089.74
2150,3925.39
2190,3538.6
2230,4365.95
2270,3934.41
2310,4742.88
2350,5187.8
2390,4134.97
2430,4919.08
2470,4957.85
2510,4599.07
2550,5360.29
2590,4894.59
2630,4269.21
2670,5340.05
2710,5822.84
2750,4823.06
2790,6000.96
2830,6020.64
2870,5371.68
2910,5996.47
2950,6169.96
2990,5219.07
3030,6135.88
3070,6392.83
3110,5411.53
3150,6109.5
3190,6061.6
3230,7293.36
3270,5526.97
3310,5934.42
3350,6894.62
3390,6414.16
3430,9533.98
3470,6896.55
3510,7408.23
3550,6779.85
3590,7665.01
3630,7569.49
3670,7246.54
3710,5738.54
3750,8235.99
3790,7437.9
3830,8852.24
3870,7945.56
3910,7794.26
3950,8177.45
3990,7125.96
4030,7670.91
4070,7931.11
4110,8090.75
4150,8937.14
4190,8723.05
4230,8541.57
4270,8846.08
4310,9296.37
4350,7301.93
4390,8097.13
4430,8912.02
4470,8461.38
4510,9758.46
4550,10076.61
4590,8542.63
4630,8829.39
4670,9510.59
4710,8376.24
4750,8977.39
4790,11322.39
4830,7863.11
4870,9256.09
4910,9195.18
4950,10247.7
4990,6846.9
5030,10640.72
5070,11795.68
5110,9131.44
5150,11230.1
5190,10309.73
5230,8687.9
5270,9954.78
5310,12487.59
5350,12695.05
5390,11792.52
5430,11740.12
5470,10689.39
5510,9612.48
5550,11655.81
5590,10617.31
5630,10761.51
5670,10034.11
5710,12160.77
5750,13065.19
5790,11037.3
5830,11070.94
5870,11725.59
5910,9791.93
5950,10995.29
5990,12132.32
6030,11516.48
6070,11052.27
6110,12702.69
6150,13531.55
6190,11228.4
6230,10682.73
6270,10647.23
6310,11806.19
6350,11766.05
6390,10687.44
6430,12044.01
6470,12942.76
6510,12257.13
6550,14891.56
6590,13663.18
6630,12734.02
6670,16491.53
6710,15405.95
6750,13115.73
6790,14933.4
6830,12837.78
6870,12491.34
6910,13248.18
6950,16410.82
6990,15215.58
7030,13979.86
7070,15104.39
7110,14243.81
7150,13365.18
7190,17541.19
7230,16362.8
7270,14167.75
7310,14563.9
7350,15223.1
7390,13141.75
7430,16079.3
7470,13683.13
7510,14226.09
7550,13398.3
7590,15757.81
7630,13666.29
7670,14698.17
7710,18900.58
7750,14300.21
7790,16252.76
7830,14362.94
7870,15048.74
7910,17003.23
7950,16156.84
7990,15655.34
8030,15409.45
8070,17649.06
8110,14898.1
8150,15522.69
8190,15104.1
8230,16072.45
8270,19388.62
8310,15259.57
8350,16606.5
8390,17076.5
8430,18145.01
8470,18280.84
8510,17928.62
8550,14986.7
8590,15946.8
8630,16420.28
8670,16206.24
8710,15796.01
8750,16011.84
8790,18423.84
8830,19362.71
8870,20950.1
8910,17789
8950,17638.29
8990,18239.78
9030,21253.46
9070,16766.17
9110,18446.83
9150,18762.74
9190,18612.3
9230,20564.75
9270,21613.78
9310,17176.43
9350,17422.23
9390,15639.05
9430,18468.27
9470,23416.94
9510,16514.02
9550,20033.32
9590,17845.57
9630,17895.69
9670,15514.73
9710,21040.6
9750,16318.17
9790,17095.5
9830,20056.09
9870,18414.22
9910,20592.35
9950,19214.57
9990,20035.09
