column 1,column 2
1,1
501,143.82
1001,102.42
1501,245.06
2001,310.48
2501,279.96
3001,441.56
3501,542.36
4001,607.22
4501,468.22
5001,592.66
5501,509.9
6001,534.6
6501,432.84
7001,573.68
7501,394.5
8001,504.2
8501,1115.8
9001,1129.28
9501,901.22
10001,1150.22
10501,910
11001,916.28
11501,1091.62
12001,1146.02
12501,1091.86
13001,1219.78
13501,941.74
14001,1027.44
14501,961.96
15001,1003.26
15501,899.56
16001,836.64
16501,812.5
17001,1015.68
17501,901.24
18001,1360.98
18501,976.4
19001,1223.02
19501,985.84
20001,933.58
20501,967.5
21001,1271.2
21501,1078.5
22001,1252.48
22501,1653.1
23001,2352.82
23501,2347.28
24001,1447.96
24501,1732.82
25001,1828
25501,1961.08
26001,2310.74
26501,2167.06
27001,2404.56
27501,1712.98
28001,2195.14
28501,1513.42
29001,1839.12
29501,2788.54
30001,2225.26
30501,2460.34
31001,2148.04
31501,2054.94
32001,2345.48
32501,1730.24
33001,1715.28
33501,1754.64
34001,1828.36
34501,2167.58
35001,1762.78
35501,2055.48
36001,2129.84
36501,2397.08
37001,2709.48
37501,1878.08
38001,1838.42
38501,2345.52
39001,2318.72
39501,2190.64
40001,1798.76
40501,2160.38
41001,1905.4
41501,2108.64
42001,1869.86
42501,2612.96
43001,2136.18
43501,2305.7
44001,1963.3
44501,1711.44
45001,2152.06
45501,1983.8
46001,2024.82
46501,1933.18
47001,2291.72
47501,2118.16
48001,1993.62
48501,2384.02
49001,2227.84
49501,1715.36
50001,2091.82
50501,2271
51001,1890.92
51501,1983.54
52001,2236.46
52501,2249.02
53001,2016.68
53501,2825.7
54001,2222.26
54501,1899.26
55001,2165.76
55501,2132.08
56001,2635.24
56501,2037.42
57001,1972.62
57501,1821.62
58001,2034.3
58501,1728.36
59001,2093.26
59501,2016
60001,3545.06
60501,4333.44
61001,3894.92
61501,4529.56
62001,3670.24
62501,3658.12
63001,3575.92
63501,4682.46
64001,4378.58
64501,5526.72
65001,3648.06
65501,4509.48
66001,5171.04
66501,4115.22
67001,3953.38
67501,4759.8
68001,4712.02
68501,4288.3
69001,4161.3
69501,3978.44
70001,3309.56
70501,3918.74
71001,3208.94
71501,5255.16
72001,3931.32
72501,3912.42
73001,3929.66
73501,4324.34
74001,4395.58
74501,3997.06
75001,3398.76
75501,4264.56
76001,3721.56
76501,4825.3
77001,4170.26
77501,4269.38
78001,4519.44
78501,5273.4
79001,3514.48
79501,3978.96
80001,3901.92
80501,3854.66
81001,4320.38
81501,5287.6
82001,3923.46
82501,4739.82
83001,4514
83501,3149.86
84001,4284.5
84501,4181.88
85001,4520.3
85501,3895.82
86001,3539.56
86501,5243.84
87001,4765.22
87501,4781.98
88001,4688.26
88501,4043.86
89001,4910.22
89501,5088.86
90001,3200.82
90501,4049.1
91001,3430.06
91501,4092.24
92001,3539.02
92501,4196.08
93001,3660.08
93501,4481.04
94001,3255.54
94501,3416.38
95001,5243.52
95501,2418.26
96001,3823.62
96501,3513.96
97001,3491.14
97501,3845.18
98001,3769.64
98501,3198.16
99001,4051.54
99501,4145.04
